predicate,occ,records,ocr004,example1,example2
"is_a",26,26,yes,"World Skills Protocol(OCR-100) -> Protocol","Professional Passport(OCR-101) -> Identity Surface"
"part_of",25,25,yes,"Professional Passport(OCR-101) -> World Skills Protocol (OCR-100)","Professional Identity(OCR-102) -> World Skills Protocol (OCR-100)"
"depends_on",4,4,yes,"World Skills Protocol(OCR-100) -> append-only fact store, Framework publication","Evidence(OCR-110) -> Framework publication of levels"
"resolved_by",4,4,no,"Framework(OCR-115) -> Framework Registry (OCR-119)","Skill(OCR-116) -> Framework Registry (OCR-119)"
"about",3,3,no,"Verification Response(OCR-109) -> Opus ID (OCR-104)","Evidence(OCR-110) -> Professional (OCR-103) via Opus ID (OCR-104)"
"defined_by",3,3,no,"Skill(OCR-116) -> Framework (OCR-115)","Competency(OCR-117) -> Framework (OCR-115)"
"governed_by",3,3,no,"World Skills Protocol(OCR-100) -> Opus X","Framework Registry(OCR-119) -> Opus X"
"produces",3,3,yes,"World Skills Protocol(OCR-100) -> verifiable professional truth","Verification(OCR-107) -> Verification Response (OCR-109)"
"references",3,3,yes,"Verification Request(OCR-108) -> Framework version (OCR-115)","Evidence(OCR-110) -> Framework (OCR-115) / Framework Reference (OCR-119)"
"superseded_by",3,3,no,"Evidence(OCR-110) -> Evidence (OCR-110, reflexive)","Immutable Fact(OCR-114) -> Immutable Fact (reflexive)"
"attested_by",2,2,no,"Skill(OCR-116) -> Evidence (OCR-110)","Competency(OCR-117) -> Evidence (OCR-110)"
"basis_for",2,2,no,"Professional Identity(OCR-102) -> Trust (OCR-105)","Opus ID(OCR-104) -> Trust (OCR-105), Trust Status (OCR-106)"
"binds",2,2,no,"Professional Identity(OCR-102) -> Immutable Fact (OCR-114)","Identity(OCR-125) -> Immutable Fact (OCR-114)"
"bound_to",2,2,no,"Evidence(OCR-110) -> Professional Passport (OCR-101) via Evidence Link","Immutable Fact(OCR-114) -> Professional Passport (OCR-101)"
"bounded_by",2,2,no,"Verification Request(OCR-108) -> consent (Passport, OCR-101)","Professional Profile(OCR-123) -> consent / disclosure"
"composes",2,2,no,"Skill(OCR-116) -> Capability (OCR-118)","Capability(OCR-118) -> Competency (OCR-117), Skill (OCR-116)"
"consumed_by",2,2,no,"Evidence(OCR-110) -> Trust (OCR-105) → Trust Status (OCR-106)","Immutable Fact(OCR-114) -> Trust (OCR-105)"
"defines",2,2,no,"Framework(OCR-115) -> Skill (OCR-116), Competency (OCR-117), Capability (OCR-118), Level","Canonical Registry(OCR-124) -> the protocol's concepts"
"distinct_from",2,2,no,"Organization(OCR-122) -> Professional (OCR-103)","Professional Profile(OCR-123) -> Professional Identity (OCR-102)"
"does_not_own",2,2,no,"Issuer(OCR-120) -> professional identity (OCR-104), Passport (OCR-101), Trust (OCR-105)","Organization(OCR-122) -> professional identity (OCR-102)"
"has_property",2,2,no,"Evidence(OCR-110) -> Evidence Integrity (OCR-113), Evidence Source (OCR-111)","Immutable Fact(OCR-114) -> Evidence Integrity (OCR-113), Evidence Source (OCR-111)"
"inspected_by",2,2,no,"Trust(OCR-105) -> Verification (OCR-107)","Evidence(OCR-110) -> Verification (OCR-107)"
"named_by",2,2,no,"Professional Identity(OCR-102) -> Opus ID (OCR-104)","Identity(OCR-125) -> Opus ID (OCR-104)"
"not_a",2,2,no,"Trust(OCR-105) -> reputation, social score","Verification Response(OCR-109) -> credential"
"owned_by",2,2,no,"Professional Passport(OCR-101) -> Professional (OCR-103)","Opus ID(OCR-104) -> Professional"
"owns",2,2,no,"Professional(OCR-103) -> Professional Identity (OCR-102)","Issuer(OCR-120) -> learning journey"
"precedes",2,2,no,"Verification Request(OCR-108) -> Verification Response (OCR-109)","Evidence Lifecycle(OCR-112) -> Trust (OCR-105)"
"produced_by",2,2,no,"Verification Response(OCR-109) -> Verification (OCR-107)","Evidence(OCR-110) -> Issuer (OCR-120) / Certified Issuer (OCR-121)"
"referenced_by",2,2,no,"Opus ID(OCR-104) -> Evidence (OCR-110)","Framework(OCR-115) -> Evidence (OCR-110)"
"revoked_by",2,2,no,"Evidence(OCR-110) -> Revocation fact","Immutable Fact(OCR-114) -> Immutable Fact (reflexive)"
"supersedes",2,2,yes,"Evidence(OCR-110) -> Evidence (OCR-110, reflexive)","Framework(OCR-115) -> Framework version (reflexive)"
"supports",2,2,no,"Evidence Source(OCR-111) -> Verification (OCR-107), Issuer revocation","Framework Registry(OCR-119) -> Trust (OCR-105)"
"surfaced_by",2,2,no,"Professional Identity(OCR-102) -> Professional Passport (OCR-101)","Trust Status(OCR-106) -> Passport (OCR-101)"
"accepted_form_of",1,1,no,"Immutable Fact(OCR-114) -> Evidence (OCR-110)",""
"accountable_for",1,1,no,"Organization(OCR-122) -> its facts and actions",""
"accumulates",1,1,no,"Professional Passport(OCR-101) -> Passport update → Immutable Fact (OCR-114)",""
"anchors",1,1,no,"Opus ID(OCR-104) -> Immutable Fact (OCR-114), Professional Passport (OCR-101)",""
"answers",1,1,no,"Verification Response(OCR-109) -> Verification Request (OCR-108)",""
"applies",1,1,no,"Verification(OCR-107) -> Framework (OCR-115)",""
"attributes_to",1,1,no,"Evidence Source(OCR-111) -> Certified Issuer (OCR-121)",""
"belongs_to",1,1,no,"Professional Identity(OCR-102) -> Professional (OCR-103)",""
"beneficiary_of",1,1,no,"Professional(OCR-103) -> Trust (OCR-105)",""
"certified_as",1,1,no,"Issuer(OCR-120) -> Certified Issuer (OCR-121)",""
"certified_by",1,1,no,"Certified Issuer(OCR-121) -> Opus X",""
"checked_by",1,1,no,"Professional Passport(OCR-101) -> Verification (OCR-107)",""
"clusters",1,1,no,"Competency(OCR-117) -> Skill (OCR-116)",""
"computed_for",1,1,no,"Trust(OCR-105) -> Opus ID (OCR-104)",""
"consumes",1,1,yes,"Trust(OCR-105) -> Immutable Fact (OCR-114), Evidence (OCR-110)",""
"contains",1,1,no,"Canonical Registry(OCR-124) -> OCR (each defining one concept)",""
"defers_levels_to",1,1,no,"Framework Registry(OCR-119) -> Framework (OCR-115)",""
"derived_from",1,1,no,"Professional Profile(OCR-123) -> Professional Passport (OCR-101)",""
"does_not_grant",1,1,no,"Certified Issuer(OCR-121) -> identity, trust-setting, level-definition, Passport control",""
"enables",1,1,no,"Identity(OCR-125) -> Verification (OCR-107), Trust (OCR-105)",""
"exposed_as",1,1,no,"Trust(OCR-105) -> Trust Status (OCR-106)",""
"exposed_by",1,1,no,"Trust Status(OCR-106) -> Verification (OCR-107)",""
"gates",1,1,no,"Certified Issuer(OCR-121) -> Evidence acceptance (OCR-110)",""
"governed_for_disclosure_by",1,1,no,"Professional Passport(OCR-101) -> consent facts",""
"governs",1,1,no,"Professional(OCR-103) -> Professional Passport (OCR-101)",""
"has_part",1,1,no,"World Skills Protocol(OCR-100) -> Evidence, Trust, Framework, Identity, Verification, Issuer, Passport",""
"held_by",1,1,no,"Professional Identity(OCR-102) -> Opus X",""
"holds",1,1,no,"Organization(OCR-122) -> Issuer (OCR-120) / Certified Issuer (OCR-121) / verifier roles",""
"holds_for",1,1,no,"Trust Status(OCR-106) -> Opus ID (OCR-104)",""
"holds_under",1,1,no,"Trust Status(OCR-106) -> Framework version (OCR-115)",""
"identified_by",1,1,no,"Professional(OCR-103) -> Opus ID (OCR-104)",""
"identifies",1,1,no,"Opus ID(OCR-104) -> Professional Identity (OCR-102), Professional (OCR-103)",""
"initiated_by",1,1,no,"Verification(OCR-107) -> Verification Request (OCR-108)",""
"initiates",1,1,no,"Verification Request(OCR-108) -> Verification (OCR-107)",""
"inspects",1,1,no,"Verification(OCR-107) -> Immutable Fact (OCR-114)",""
"instantiated_by",1,1,no,"Identity(OCR-125) -> Professional Identity (OCR-102), Organization (OCR-122)",""
"interpreted_against",1,1,no,"Trust(OCR-105) -> Framework (OCR-115)",""
"layered_into",1,1,no,"Canonical Registry(OCR-124) -> 100s / 200s / 300s",""
"links_to",1,1,no,"Evidence Lifecycle(OCR-112) -> Professional Passport (OCR-101)",""
"maps",1,1,no,"Framework Registry(OCR-119) -> Criterion → Coordinate",""
"must_agree_with",1,1,no,"Canonical Registry(OCR-124) -> implementation",""
"names",1,1,no,"Verification Request(OCR-108) -> Opus ID (OCR-104)",""
"orders",1,1,no,"Evidence Lifecycle(OCR-112) -> Evidence (OCR-110), Evidence Integrity (OCR-113)",""
"output_of",1,1,no,"Trust Status(OCR-106) -> Trust (OCR-105)",""
"presents",1,1,no,"Professional Profile(OCR-123) -> Immutable Fact (OCR-114), Trust (OCR-105)",""
"preserved_by",1,1,no,"Evidence Source(OCR-111) -> Immutable Fact (OCR-114)",""
"produces_accepted",1,1,no,"Certified Issuer(OCR-121) -> Immutable Fact (OCR-114)",""
"produces_at_acceptance",1,1,no,"Evidence Lifecycle(OCR-112) -> Immutable Fact (OCR-114)",""
"produces_when_issuer",1,1,no,"Organization(OCR-122) -> Evidence (OCR-110)",""
"property_of",1,1,no,"Evidence Integrity(OCR-113) -> Immutable Fact (OCR-114)",""
"protects",1,1,no,"Evidence Integrity(OCR-113) -> Evidence (OCR-110)",""
"provenance_of",1,1,no,"Evidence Source(OCR-111) -> Evidence (OCR-110)",""
"published_by",1,1,no,"Framework(OCR-115) -> Opus X",""
"queried_by",1,1,no,"Framework Registry(OCR-119) -> Evidence ingestion (OCR-110), Verification (OCR-107)",""
"reads",1,1,no,"Verification(OCR-107) -> Trust (OCR-105)",""
"recomputes",1,1,no,"Verification(OCR-107) -> Evidence Integrity (OCR-113)",""
"related_to",1,1,yes,"World Skills Protocol(OCR-100) -> Verifiable Credentials, DID Core, Open Badges (as prior art, not equivalents)",""
"relied_on_by",1,1,no,"Evidence Integrity(OCR-113) -> Verification (OCR-107), Trust (OCR-105)",""
"reports",1,1,no,"Verification Response(OCR-109) -> Trust (OCR-105), confirmed Evidence Integrity (OCR-113)",""
"resolves",1,1,no,"Framework Registry(OCR-119) -> Framework (OCR-115) coordinates and criteria",""
"separates",1,1,no,"World Skills Protocol(OCR-100) -> production (Issuer) from verification (Opus X)",""
"standing_computed_from",1,1,no,"Capability(OCR-118) -> Immutable Fact (OCR-114) via Trust (OCR-105)",""
"state",1,1,no,"Certified Issuer(OCR-121) -> Applicant | Certified | Suspended | Revoked",""
"subject_of",1,1,no,"Professional(OCR-103) -> Evidence (OCR-110)",""
"surfaces",1,1,no,"Professional Passport(OCR-101) -> Opus ID (OCR-104), Trust (OCR-105)",""
"used_by",1,1,no,"Framework(OCR-115) -> Trust (OCR-105)",""
"validated_by",1,1,no,"Evidence Integrity(OCR-113) -> non-ASCII conformance test",""
"works_with",1,1,no,"Evidence Source(OCR-111) -> Evidence Integrity (OCR-113)",""
